f(t), 実行結果, 実行結果(浮動小数点表記), 理論値
f(0), 0.32000000000000000666, 0x3fd47ae147ae147b,0.32000000000000000000 
f(1), 0.64000000000000001332, 0x3fe47ae147ae147b,0.64000000000000000000 
f(2), 0.71999999999999997335, 0x3fe70a3d70a3d70a,0.72000000000000000000 
f(3), 0.56000000000000005329, 0x3fe1eb851eb851ec,0.56000000000000000000 
f(4), 0.87999999999999989342, 0x3fec28f5c28f5c28,0.88000000000000000000 
f(5), 0.24000000000000021316, 0x3fceb851eb851ec0,0.24000000000000000000 
f(6), 0.48000000000000042633, 0x3fdeb851eb851ec0,0.48000000000000000000 
f(7), 0.96000000000000085265, 0x3feeb851eb851ec0,0.96000000000000000000 
f(8), 0.07999999999999829470, 0x3fb47ae147ae1400,0.08000000000000000000 
f(9), 0.15999999999999658939, 0x3fc47ae147ae1400,0.16000000000000000000 
f(10), 0.31999999999999317879, 0x3fd47ae147ae1400,0.32000000000000000000 
f(11), 0.63999999999998635758, 0x3fe47ae147ae1400,0.64000000000000000000 
f(12), 0.72000000000002728484, 0x3fe70a3d70a3d800,0.72000000000000000000 
f(13), 0.55999999999994543032, 0x3fe1eb851eb85000,0.56000000000000000000 
f(14), 0.88000000000010913936, 0x3fec28f5c28f6000,0.88000000000000000000 
f(15), 0.23999999999978172127, 0x3fceb851eb850000,0.24000000000000000000 
f(16), 0.47999999999956344254, 0x3fdeb851eb850000,0.48000000000000000000 
f(17), 0.95999999999912688509, 0x3feeb851eb850000,0.96000000000000000000 
f(18), 0.08000000000174622983, 0x3fb47ae147b00000,0.08000000000000000000 
f(19), 0.16000000000349245965, 0x3fc47ae147b00000,0.16000000000000000000 
f(20), 0.32000000000698491931, 0x3fd47ae147b00000,0.32000000000000000000 
f(21), 0.64000000001396983862, 0x3fe47ae147b00000,0.64000000000000000000 
f(22), 0.71999999997206032276, 0x3fe70a3d70a00000,0.72000000000000000000 
f(23), 0.56000000005587935448, 0x3fe1eb851ec00000,0.56000000000000000000 
f(24), 0.87999999988824129105, 0x3fec28f5c2800000,0.88000000000000000000 
f(25), 0.24000000022351741791, 0x3fceb851ec000000,0.24000000000000000000 
f(26), 0.48000000044703483582, 0x3fdeb851ec000000,0.48000000000000000000 
f(27), 0.96000000089406967163, 0x3feeb851ec000000,0.96000000000000000000 
f(28), 0.07999999821186065674, 0x3fb47ae140000000,0.08000000000000000000 
f(29), 0.15999999642372131348, 0x3fc47ae140000000,0.16000000000000000000 
f(30), 0.31999999284744262695, 0x3fd47ae140000000,0.32000000000000000000 
f(31), 0.63999998569488525391, 0x3fe47ae140000000,0.64000000000000000000 
f(32), 0.72000002861022949219, 0x3fe70a3d80000000,0.72000000000000000000 
f(33), 0.55999994277954101562, 0x3fe1eb8500000000,0.56000000000000000000 
f(34), 0.88000011444091796875, 0x3fec28f600000000,0.88000000000000000000 
f(35), 0.23999977111816406250, 0x3fceb85000000000,0.24000000000000000000 
f(36), 0.47999954223632812500, 0x3fdeb85000000000,0.48000000000000000000 
f(37), 0.95999908447265625000, 0x3feeb85000000000,0.96000000000000000000 
f(38), 0.08000183105468750000, 0x3fb47b0000000000,0.08000000000000000000 
f(39), 0.16000366210937500000, 0x3fc47b0000000000,0.16000000000000000000 
f(40), 0.32000732421875000000, 0x3fd47b0000000000,0.32000000000000000000 
f(41), 0.64001464843750000000, 0x3fe47b0000000000,0.64000000000000000000 
f(42), 0.71997070312500000000, 0x3fe70a0000000000,0.72000000000000000000 
f(43), 0.56005859375000000000, 0x3fe1ec0000000000,0.56000000000000000000 
f(44), 0.87988281250000000000, 0x3fec280000000000,0.88000000000000000000 
f(45), 0.24023437500000000000, 0x3fcec00000000000,0.24000000000000000000 
f(46), 0.48046875000000000000, 0x3fdec00000000000,0.48000000000000000000 
f(47), 0.96093750000000000000, 0x3feec00000000000,0.96000000000000000000 
f(48), 0.07812500000000000000, 0x3fb4000000000000,0.08000000000000000000 
f(49), 0.15625000000000000000, 0x3fc4000000000000,0.16000000000000000000 
f(50), 0.31250000000000000000, 0x3fd4000000000000,0.32000000000000000000 
f(51), 0.62500000000000000000, 0x3fe4000000000000,0.64000000000000000000 
f(52), 0.75000000000000000000, 0x3fe8000000000000,0.72000000000000000000 
f(53), 0.50000000000000000000, 0x3fe0000000000000,0.56000000000000000000 
f(54), 1.00000000000000000000, 0x3ff0000000000000,0.88000000000000000000 
f(55),0.00000000000000000000 , 0x8000000000000000,0.24000000000000000000 
f(56),0.00000000000000000000 , 0x8000000000000000,0.48000000000000000000 
f(57),0.00000000000000000000 , 0x8000000000000000,0.96000000000000000000 
f(58),0.00000000000000000000 , 0x8000000000000000,0.08000000000000000000 
f(59),0.00000000000000000000 , 0x8000000000000000,0.16000000000000000000 
